"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","429","checkLoginWithEmptyUsername","Surefire suite","Wed Jun 25 16:11:56 GMT 2025","passed","Wed Jun 25 16:11:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUsername"
"","619","checkSort","Surefire suite","Wed Jun 25 16:11:18 GMT 2025","passed","Wed Jun 25 16:11:19 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","448","checkLoginWithWrongPassword","Surefire suite","Wed Jun 25 16:11:57 GMT 2025","failed","Wed Jun 25 16:11:57 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","787","Проверка добавления 4 товаров в корзину","Surefire suite","Wed Jun 25 16:11:21 GMT 2025","passed","Wed Jun 25 16:11:22 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addFourProductsToCart"
"","633","checkSort","Surefire suite","Wed Jun 25 16:11:20 GMT 2025","passed","Wed Jun 25 16:11:21 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","447","checkLoginWithEmptyPassword","Surefire suite","Wed Jun 25 16:11:55 GMT 2025","failed","Wed Jun 25 16:11:56 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","10429","checkProductsPrice","Surefire suite","Wed Jun 25 16:12:20 GMT 2025","broken","Wed Jun 25 16:12:30 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductsPrice"
"","2237","checkSort","Surefire suite","Wed Jun 25 16:11:15 GMT 2025","passed","Wed Jun 25 16:11:17 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","10429","checkSuccessLogin","Surefire suite","Wed Jun 25 16:11:44 GMT 2025","broken","Wed Jun 25 16:11:55 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","10436","addToCart","Surefire suite","Wed Jun 25 16:12:09 GMT 2025","broken","Wed Jun 25 16:12:19 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"","10453","checkCart","Surefire suite","Wed Jun 25 16:11:58 GMT 2025","broken","Wed Jun 25 16:12:08 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","620","checkSort","Surefire suite","Wed Jun 25 16:11:19 GMT 2025","passed","Wed Jun 25 16:11:20 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
